region,top_visual,top_talent,top_love,top_raw_words,comment_count
한국,"눈(83), 입(56), 예쁘(45), 웃음(39), 잘생(27)","춤(75), 노래(45), 춤선(33), 무대(20), 라이브(17)","사랑(153), 행복(142), 고마(80), 좋아(70), 최고(46)","귀여워(149), 오늘(120), 은호(107), 밤비(93), 우리(84), 다시(81), 사랑해(79), 이렇게(77), 플레이브(76), 쁜라(74)",2657
일본,"かわいい(3), かっこいい(3), 目(1), 美しい(1)","歌(3), 声(2), ダンス(2)","最高(3), 素敵(3), 幸せ(1), 完璧(1)","sehat(2), fighting(1), halo(1), sayang(1), sayangkuuu(1), dan(1), happy(1), terus(1), yakkk(1), omgg(1)",35
영어권,"look(16), pretty(13), beautiful(10), handsome(4), eyes(3)","live(19), dance(12), sing(6), voice(3)","love(35), king(15), proud(8), happy(7), perfect(3)","cute(56), plave(39), love(33), noah(24), thank(20), really(18), eunho(18), bamby(17), guys(16), want(15)",431
아랍어권,,,,,3
태국,,,,"omg(1), cuteeeee(1), yoi(1), thank(1), saving(1), life(1)",24
베트남,"look(1), face(1)","live(2), dance(1)",,"amo(12), que(7), vcs(6), plave(4), mas(4), obrigada(4), tudo(3), isso(3), live(3), trabalho(3)",20
중국,,,,"plave(1), good(1), goodbye(1), merry(1), xmas(1)",26
러시아,,,,,2
필리핀,,,,first(1),1
인도네시아,,live(1),,"banget(5), ini(3), sekali(2), yang(2), deh(2), lucu(2), adik(2), aku(2), suka(2), sama(2)",8
스페인어권,,,,"que(1), hermoso(1), quiero(1), jajaja(1)",1
포르투갈어권,,live(1),,"amo(2), como(1), estos(1), lives(1), los(1), mucho(1), espero(1), queden(1), otra(1), vez(1)",2
